person,personLabel,cricinfoIdLabel,Wikipedia_page_links,Wikipedia_image_link
http://www.wikidata.org/entity/Q21474206,Divan van Wyk,47851,https://en.wikipedia.org/wiki/Divan_van_Wyk,nan
http://www.wikidata.org/entity/Q6521735,Len Darling,4899,https://en.wikipedia.org/wiki/Len_Darling,File:Len_Darling_1934.jpg
http://www.wikidata.org/entity/Q5520216,Gamini Perera,49857,https://en.wikipedia.org/wiki/Gamini_Perera,nan
http://www.wikidata.org/entity/Q6767378,Mark Divin,5101,https://en.wikipedia.org/wiki/Mark_Divin,File:Mark_Divin.jpg
http://www.wikidata.org/entity/Q13647554,Matthew Elliott,5130,https://en.wikipedia.org/wiki/Matthew_Elliott_(cricketer),File:MatthewElliott.JPG
http://www.wikidata.org/entity/Q6982207,Navdeep Poonia,19276,https://en.wikipedia.org/wiki/Navdeep_Poonia,nan
http://www.wikidata.org/entity/Q2757835,Ranjitsinhji,19331,https://en.wikipedia.org/wiki/Ranjitsinhji,File:Ranjitsinhji_c1908.jpg
http://www.wikidata.org/entity/Q12989562,Harold Rhodes,19372,https://en.wikipedia.org/wiki/Harold_Rhodes_(cricketer),nan
http://www.wikidata.org/entity/Q2743484,Bill Voce,22192,https://en.wikipedia.org/wiki/Bill_Voce,File:Bill_Voce_1932.jpg
http://www.wikidata.org/entity/Q22007395,Orlando Peters,245372,https://en.wikipedia.org/wiki/Orlando_Peters,nan
http://www.wikidata.org/entity/Q7614988,Steven Lubbers,24920,https://en.wikipedia.org/wiki/Steven_Lubbers,nan
http://www.wikidata.org/entity/Q57242920,Mark Ingty,29540,https://en.wikipedia.org/wiki/Mark_Ingty,nan
http://www.wikidata.org/entity/Q16204437,Mark Bailey,36285,https://en.wikipedia.org/wiki/Mark_Bailey_(cricketer),nan
http://www.wikidata.org/entity/Q24851950,Simon Peterson,38121,https://en.wikipedia.org/wiki/Simon_Peterson,nan
http://www.wikidata.org/entity/Q4864748,Barry Sinclair,38390,https://en.wikipedia.org/wiki/Barry_Sinclair,File:Barry_Sinclair_MNZM_(cropped).jpg
http://www.wikidata.org/entity/Q8021880,Willie Watson,38742,https://en.wikipedia.org/wiki/Willie_Watson_(New_Zealand_cricketer),nan
http://www.wikidata.org/entity/Q5536148,George Alexander,3944,https://en.wikipedia.org/wiki/George_Alexander_(Australian_cricketer),File:George_Alexander_Australian_cricketer.jpg
http://www.wikidata.org/entity/Q3525118,Harry Alexander,3945,https://en.wikipedia.org/wiki/Harry_Alexander_(cricketer),File:Harry_Alexander.png
http://www.wikidata.org/entity/Q7363479,Ron Archer,3980,https://en.wikipedia.org/wiki/Ron_Archer,File:Ron_Archer_1954-12-31.jpg
http://www.wikidata.org/entity/Q6501663,Laurie Mayne,6531,https://en.wikipedia.org/wiki/Laurie_Mayne,nan
http://www.wikidata.org/entity/Q7816834,Tom McKibbin,6579,https://en.wikipedia.org/wiki/Tom_McKibbin,File:Tom_McKibbin_(ca_1895).jpg
http://www.wikidata.org/entity/Q2865262,Arthur Morris,6644,https://en.wikipedia.org/wiki/Arthur_Morris,File:Arthur_Morris_playing_career.jpg
http://www.wikidata.org/entity/Q7412228,Samuel Morris,6647,https://en.wikipedia.org/wiki/Samuel_Morris_(cricketer),"File:Sam_Morris,_Test_cricketer.png"
http://www.wikidata.org/entity/Q3242942,Shaun Marsh,6683,https://en.wikipedia.org/wiki/Shaun_Marsh,File:Shaun_Marsh.jpg
http://www.wikidata.org/entity/Q7176077,Peter Nevill,6973,https://en.wikipedia.org/wiki/Peter_Nevill,File:PETER_NEVILL_(6311099886)_(cropped).jpg
http://www.wikidata.org/entity/Q7437079,Scott Prestwidge,7143,https://en.wikipedia.org/wiki/Scott_Prestwidge,nan
